id,name,chapter,subsection,tags,suji,xingwei,guijing,gongxiao,zhuzhi,yongfa,jinji,yaoli,jianjie,file
70,白附子,化痰止咳平喘药,温化寒痰药,,祛风痰、定惊搐为要,辛，温；有毒,胃、肝经,祛风痰；定惊搐；解毒散结；止痛,中风痰壅，口眼歪斜，惊风癫痫，破伤风；痰厥头痛；瘰疬痰核，毒蛇咬伤（外用）,煎服，3～6g（制用）；外用生品适量,有毒，孕妇忌用；阴虚血虚动风者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/温化寒痰药/白附子.md
71,皂荚,化痰止咳平喘药,温化寒痰药,,祛顽痰、通窍开闭为要,辛、咸，温；有小毒,肺、大肠经,祛顽痰；通窍开闭；祛风杀虫,顽痰阻肺，咳喘痰多；中风痰厥，癫痫；便秘；疮癣（外用）,煎服，1～1.5g；焙焦研末服，0.6～1.5g；外用适量,有小毒，孕妇、咯血及体虚者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,化痰止咳平喘药/温化寒痰药/皂荚.md
72,合欢皮,安神药,养心安神药,,解郁安神、活血消肿为要,甘，平,心、肝、肺经,解郁安神；活血消肿,心神不宁，忿怒忧郁，烦躁失眠；跌打损伤，骨折肿痛；肺痈疮肿,煎服，6～12g,孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/养心安神药/合欢皮.md
73,柏子仁,安神药,养心安神药,,养心安神、润肠通便为要,甘，平,心、肾、大肠经,养心安神；润肠通便；止汗,虚烦不眠，心悸怔忡；肠燥便秘；阴虚盗汗,煎服，3～10g,便溏及痰多者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/养心安神药/柏子仁.md
74,灵芝,安神药,养心安神药,,补气安神、止咳平喘为要,甘，平,心、肺、肝、肾经,补气安神；止咳平喘,心神不宁，失眠心悸；肺虚咳喘；虚劳短气，不思饮食,煎服，6～12g；研末服，1.5～3g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/养心安神药/灵芝.md
75,缬草,安神药,养心安神药,,安神、理气为要,辛、甘，温,心、肝经,安神；理气；活血止痛,心神不宁，失眠；脘腹胀痛；跌打损伤,煎服，3～9g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/养心安神药/缬草.md
76,远志,安神药,养心安神药,,安神益智、交通心肾为要,苦、辛，温,心、肾、肺经,安神益智；交通心肾；祛痰；消肿,心肾不交之失眠健忘，惊悸；痰阻心窍之癫痫发狂；咳嗽痰多；痈疽疮毒（外用）,煎服，3～10g；外用适量；甘草水炙可缓和刺激,胃炎及胃溃疡者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/养心安神药/远志.md
77,酸枣仁,安神药,养心安神药,,养心补肝、宁心安神为要,甘、酸，平,肝、胆、心经,养心补肝；宁心安神；敛汗；生津,虚烦不眠，惊悸多梦；体虚多汗；津伤口渴,煎服，10～15g；研末吞服，每次1.5～2g,实邪郁火者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/养心安神药/酸枣仁.md
78,首乌藤,安神药,养心安神药,,养血安神、祛风通络为要,甘，平,心、肝经,养血安神；祛风通络,失眠多梦，血虚身痛；风湿痹痛；皮肤瘙痒,煎服，9～15g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/养心安神药/首乌藤.md
79,朱砂,安神药,重镇安神药,,清心镇惊、安神为要,甘，微寒；有毒,心经,清心镇惊；安神；明目；解毒,心神不宁，心悸失眠；惊风癫痫；疮疡肿毒，咽喉肿痛,研末冲服或入丸散，0.1～0.5g；不宜入煎剂,有毒，不可过量久服；忌火煅；孕妇及肝肾功能不全者禁用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/重镇安神药/朱砂.md
80,琥珀,安神药,重镇安神药,,镇惊安神、活血散瘀为要,甘，平,心、肝、膀胱经,镇惊安神；活血散瘀；利尿通淋,心神不宁，心悸失眠，惊风癫痫；血滞经闭，癥瘕；淋证尿血，小便不利,研末冲服或入丸散，1.5～3g；不入煎剂,阴虚内热、津液不足者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/重镇安神药/琥珀.md
81,磁石,安神药,重镇安神药,,镇惊安神、平肝潜阳为要,咸，寒,心、肝、肾经,镇惊安神；平肝潜阳；聪耳明目；纳气平喘,心神不宁，惊悸失眠，癫痫；肝阳眩晕；耳鸣耳聋，目昏；肾虚气喘,煎服，9～30g，打碎先煎,脾胃虚弱者慎用；入丸散不宜过量,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/重镇安神药/磁石.md
82,龙骨,安神药,重镇安神药,,镇惊安神、平肝潜阳为要,甘、涩，平,心、肝、肾经,镇惊安神；平肝潜阳；收敛固涩,心神不宁，心悸失眠，惊痫癫狂；肝阳眩晕；滑脱诸证（自汗盗汗、遗精、崩漏、带下）,煎服，15～30g，先煎；收敛固涩宜煅用,湿热积滞者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,安神药/重镇安神药/龙骨.md
83,代赭石,平肝息风药,平抑肝阳药,,平肝潜阳、重镇降逆为要,苦，寒,肝、心经,平肝潜阳；重镇降逆；凉血止血,肝阳上亢，头晕目眩；呕吐、呃逆、噫气；气逆喘息；血热吐血、衄血、崩漏,煎服，9～30g，打碎先煎,孕妇慎用；虚寒证忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/平抑肝阳药/代赭石.md
84,刺蒺藜,平肝息风药,平抑肝阳药,,平肝解郁、活血祛风为要,辛、苦，微温；有小毒,肝经,平肝解郁；活血祛风；明目；止痒,肝阳眩晕，头痛；胸胁胀痛，乳闭乳痈；目赤翳障；风疹瘙痒,煎服，6～10g,有小毒，孕妇慎用；血虚气弱及阴虚火旺者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/平抑肝阳药/刺蒺藜.md
85,牡蛎,平肝息风药,平抑肝阳药,,重镇安神、潜阳补阴为要,咸，微寒,肝、胆、肾经,重镇安神；潜阳补阴；软坚散结；收敛固涩,心神不安，惊悸失眠；肝阳上亢，头晕目眩；痰核瘰疬，癥瘕积聚；滑脱诸证（自汗盗汗、遗精、崩带）,煎服，9～30g，先煎；收敛固涩宜煅用,虚而有寒者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/平抑肝阳药/牡蛎.md
86,珍珠母,平肝息风药,平抑肝阳药,,平肝潜阳、安神定惊为要,咸，寒,肝、心经,平肝潜阳；安神定惊；明目退翳,肝阳眩晕，头痛；心悸失眠，心神不宁；目赤翳障,煎服，10～25g，打碎先煎,脾胃虚寒者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/平抑肝阳药/珍珠母.md
87,生铁落,平肝息风药,平抑肝阳药,,平肝镇惊为要,辛，凉,肝、心经,平肝镇惊,癫狂善怒，惊悸失眠,煎服，30～60g，先煎；或入丸散,肝虚及中气虚寒者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/平抑肝阳药/生铁落.md
88,石决明,平肝息风药,平抑肝阳药,,平肝潜阳、清肝明目为要,咸，寒,肝经,平肝潜阳；清肝明目,肝阳上亢之头晕目眩；目赤翳障，视物昏花,煎服，6～20g，打碎先煎,脾胃虚寒、食少便溏者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/平抑肝阳药/石决明.md
89,紫贝齿,平肝息风药,平抑肝阳药,,平肝潜阳、镇惊安神为要,咸，平,肝、心经,平肝潜阳；镇惊安神；清肝明目,肝阳眩晕；惊悸失眠；目赤翳障,煎服，10～15g，打碎先煎,脾胃虚寒者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/平抑肝阳药/紫贝齿.md
90,罗布麻叶,平肝息风药,平抑肝阳药,,平肝安神、清热利水为要,甘、苦，凉,肝经,平肝安神；清热利水,肝阳眩晕，心悸失眠；水肿尿少,煎服或开水泡服，6～12g,不宜过量久服,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/平抑肝阳药/罗布麻叶.md
91,僵蚕,平肝息风药,息风止痉药,,息风止痉、祛风止痛为要,咸、辛，平,肝、肺、胃经,息风止痉；祛风止痛；化痰散结,惊痫抽搐，中风口歪，破伤风；风热头痛，目赤咽痛；风疹瘙痒；痰核瘰疬,煎服，5～10g；研末吞服，每次1～1.5g,血虚生风者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/息风止痉药/僵蚕.md
92,全蝎,平肝息风药,息风止痉药,,息风镇痉、通络止痛为要,辛，平；有毒,肝经,息风镇痉；通络止痛；攻毒散结,小儿惊风，抽搐痉挛，中风口歪，半身不遂；破伤风；风湿顽痹，偏正头痛；疮疡肿毒，瘰疬痰核,煎服，3～6g；研末吞服，每次0.6～1g,有毒，孕妇禁用；用量不宜过大,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/息风止痉药/全蝎.md
93,地龙,平肝息风药,息风止痉药,,清热定惊、通络为要,咸，寒,肝、脾、膀胱经,清热定惊；通络；平喘；利尿,高热神昏，惊痫抽搐；关节痹痛，肢体麻木，半身不遂；肺热喘咳；小便不利，尿闭不通,煎服，5～10g；研末吞服，每次1～2g,脾胃虚寒者慎用；孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/息风止痉药/地龙.md
94,天麻,平肝息风药,息风止痉药,,息风止痉、平抑肝阳为要,甘，平,肝经,息风止痉；平抑肝阳；祛风通络,肝风内动，惊痫抽搐；眩晕头痛；肢体麻木，手足不遂，风湿痹痛,煎服，3～10g；研末冲服，每次1～1.5g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/息风止痉药/天麻.md
95,牛黄,平肝息风药,息风止痉药,,凉肝息风、清心豁痰为要,甘，凉,心、肝经,凉肝息风；清心豁痰；开窍醒神；清热解毒,热病神昏，中风痰迷；惊痫抽搐；咽喉肿痛，口舌生疮，痈肿疔疮,入丸散，0.15～0.35g；外用适量,非实热证不宜用；孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/息风止痉药/牛黄.md
96,珍珠,平肝息风药,息风止痉药,,安神定惊、明目消翳为要,甘、咸，寒,心、肝经,安神定惊；明目消翳；解毒生肌；润肤祛斑,惊悸失眠，惊风癫痫；目赤翳障；疮疡不敛；皮肤色斑,研末冲服或入丸散，0.1～0.3g；外用适量,孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/息风止痉药/珍珠.md
97,羚羊角,平肝息风药,息风止痉药,,平肝息风、清肝明目为要,咸，寒,肝、心经,平肝息风；清肝明目；散血解毒,肝风内动，惊痫抽搐；肝阳上亢，头晕目眩；肝火炽盛，头痛目赤；温热病壮热神昏，热毒发斑,煎服，1～3g，单煎2小时以上；磨汁或研粉服，每次0.3～0.6g,脾虚慢惊者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/息风止痉药/羚羊角.md
98,蜈蚣,平肝息风药,息风止痉药,,息风镇痉、通络止痛为要,辛，温；有毒,肝经,息风镇痉；通络止痛；攻毒散结,小儿惊风，抽搐痉挛，中风口歪，半身不遂；破伤风；风湿顽痹，顽固性头痛；疮疡肿毒，瘰疬结核,煎服，3～5g；研末吞服，每次0.6～1g,有毒，孕妇禁用；用量不宜过大,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/息风止痉药/蜈蚣.md
99,钩藤,平肝息风药,息风止痉药,,息风定惊、清热平肝为要,甘，凉,肝、心包经,息风定惊；清热平肝,肝风内动，惊痫抽搐；肝阳上亢，头晕目眩；肝火上炎，头痛目赤；小儿惊啼夜啼,煎服，3～12g，后下,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,平肝息风药/息风止痉药/钩藤.md
100,冰片,开窍药,,,开窍醒神、清热止痛为要,辛、苦，微寒,心、脾、肺经,开窍醒神；清热止痛,热病神昏，中风痰厥，中恶昏迷；目赤肿痛，咽喉肿痛，口疮；疮疡肿痛，烧烫伤,入丸散，0.15～0.3g；外用适量，研粉点敷患处,孕妇慎用；气血虚衰者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,开窍药/冰片.md
101,安息香,开窍药,,,开窍醒神、行气活血为要,辛、苦，平,心、脾经,开窍醒神；行气活血；止痛,中风痰厥，气郁暴厥，中恶昏迷；心腹疼痛；产后血晕,入丸散，0.3～1.5g；不入煎剂,孕妇慎用；阴虚火旺者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,开窍药/安息香.md
102,石菖蒲,开窍药,,,开窍豁痰、醒神益智为要,辛、苦，温,心、胃经,开窍豁痰；醒神益智；化湿开胃,痰蒙清窍，神昏癫痫，健忘失眠；耳鸣耳聋；脘痞不饥，噤口下痢,煎服，3～10g；鲜品加倍,阴虚阳亢、烦躁汗多、滑精者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,开窍药/石菖蒲.md
103,苏合香,开窍药,,,开窍醒神、辟秽止痛为要,辛，温,心、脾经,开窍醒神；辟秽止痛,痰迷心窍所致卒然昏倒，牙关紧闭；胸痹心痛，胸闷憋气,入丸散，0.3～1g；不入煎剂,热病神昏、阴虚阳亢者慎用；孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,开窍药/苏合香.md
104,麝香,开窍药,,,开窍醒神、活血通经为要,辛，温,心、脾经,开窍醒神；活血通经；消肿止痛,热病神昏，中风痰厥，气郁暴厥，中恶昏迷；经闭癥瘕，难产死胎；胸痹心痛，心腹暴痛；跌打损伤，痹痛，疮疡肿毒,入丸散，0.03～0.1g；不入煎剂；外用适量,孕妇禁用；虚脱证禁用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,开窍药/麝香.md
105,升药,拔毒化腐生肌药,,,拔毒、去腐为要,辛，热；有大毒,肺、脾经,拔毒；去腐；生肌,痈疽溃后，脓出不畅，腐肉不去，新肉难生,外用适量，研极细末撒布患处,大毒，只供外用，不可内服；孕妇及体弱者禁用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,拔毒化腐生肌药/升药.md
106,炉甘石,拔毒化腐生肌药,,,解毒明目退翳、收湿止痒敛疮为要,甘，平,肝、胃经,解毒明目退翳；收湿止痒敛疮,目赤翳障，目暗不明；溃疡不敛，湿疮湿疹，皮肤瘙痒（外用）,外用适量，水飞点眼或研末撒布,专供外用，不作内服,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,拔毒化腐生肌药/炉甘石.md
107,砒石,拔毒化腐生肌药,,,外用攻毒杀虫，蚀疮去腐、内服劫痰平喘，截疟为要,辛，大热；大毒,肺、脾、肝经,外用攻毒杀虫，蚀疮去腐；内服劫痰平喘，截疟,瘰疬，痔疮，牙疳，顽癣（外用）；寒痰哮喘（内服）,外用适量，研末撒敷或入膏药；内服入丸散，0.002～0.004g,大毒，内服极须谨慎，孕妇禁用；不可过量久服；忌火煅,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,拔毒化腐生肌药/砒石.md
108,硼砂,拔毒化腐生肌药,,,外用清热解毒，消肿防腐、内服清肺化痰为要,甘、咸，凉,肺、胃经,外用清热解毒，消肿防腐；内服清肺化痰,咽喉肿痛，口舌生疮，目赤翳障（外用）；痰热咳嗽（内服）,外用适量，研极细末撒布或调敷；内服入丸散，1.5～3g,内服宜慎，不宜过量；脾虚便溏者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,拔毒化腐生肌药/硼砂.md
109,轻粉,拔毒化腐生肌药,,,外用杀虫，攻毒，敛疮、内服祛痰消积，逐水通便为要,辛，寒；有毒,大肠、小肠经,外用杀虫，攻毒，敛疮；内服祛痰消积，逐水通便,疥癣，梅毒，疮疡溃烂（外用）；痰涎积滞，水肿鼓胀（内服）,外用适量研末调涂；内服入丸散，0.1～0.2g,有毒，不可过量久服；孕妇、小儿及肝肾功能不全者禁用；内服后须漱口,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,拔毒化腐生肌药/轻粉.md
110,铅丹,拔毒化腐生肌药,,,外用拔毒生肌，杀虫止痒、内服坠痰镇惊为要,辛、咸，微寒；有毒,心、肝经,外用拔毒生肌，杀虫止痒；内服坠痰镇惊,疮疡溃烂，湿疹瘙痒（外用）；惊痫癫狂（内服）,外用适量，研末撒布或熬膏贴敷；内服入丸散，0.3～0.6g,有毒，不可过量久服；孕妇禁用；不宜长期使用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,拔毒化腐生肌药/铅丹.md
111,刺猬皮,收涩药,固精缩尿止带药,,固精缩尿、收敛止血为要,苦、涩，平,肾、胃、大肠经,固精缩尿；收敛止血；化瘀止痛,遗精滑精，遗尿尿频；便血，痔血，崩漏；胃脘疼痛,煎服，3～10g；研末服，1.5～3g,孕妇慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/刺猬皮.md
112,山茱萸,收涩药,固精缩尿止带药,,补益肝肾、收涩固脱为要,酸、涩，微温,肝、肾经,补益肝肾；收涩固脱,眩晕耳鸣，腰膝酸痛，阳痿遗精，遗尿尿频；大汗不止，体虚欲脱；崩漏带下,煎服，6～12g；急救固脱可用20～30g,素有湿热、小便淋涩者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/山茱萸.md
113,桑螵蛸,收涩药,固精缩尿止带药,,固精缩尿、补肾助阳为要,甘、咸，平,肝、肾经,固精缩尿；补肾助阳,遗精滑精，遗尿尿频，小便白浊；肾虚阳痿,煎服，5～10g,阴虚火旺、膀胱湿热者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/桑螵蛸.md
114,椿皮,收涩药,固精缩尿止带药,,清热燥湿、收涩止带为要,苦、涩，寒,大肠、肝经,清热燥湿；收涩止带；止泻；止血,赤白带下，湿热泻痢；久泻久痢，便血崩漏,煎服，6～9g；外用适量,脾胃虚寒者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/椿皮.md
115,海螵蛸,收涩药,固精缩尿止带药,,收敛止血、涩精止带为要,咸、涩，温,脾、肾经,收敛止血；涩精止带；制酸止痛；收湿敛疮,吐血衄血，崩漏便血，外伤出血；遗精滑精，赤白带下；胃痛吞酸；湿疮湿疹，溃疡不敛（外用）,煎服，6～12g；研末吞服，每次1.5～3g；外用适量,阴虚多热者慎用；大剂量可致便秘,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/海螵蛸.md
116,芡实,收涩药,固精缩尿止带药,,益肾固精、补脾止泻为要,甘、涩，平,脾、肾经,益肾固精；补脾止泻；除湿止带,肾虚遗精滑精，遗尿尿频；脾虚久泻；白浊，带下,煎服，9～15g,大小便不利者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/芡实.md
117,莲子,收涩药,固精缩尿止带药,,补脾止泻、止带为要,甘、涩，平,脾、肾、心经,补脾止泻；止带；益肾涩精；养心安神,脾虚久泻，食欲不振；肾虚遗精，带下；心悸失眠,煎服，6～15g；去心用,中满痞胀、大便燥结者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/莲子.md
118,覆盆子,收涩药,固精缩尿止带药,,益肾固精缩尿、养肝明目为要,甘、酸，温,肝、肾、膀胱经,益肾固精缩尿；养肝明目,遗精滑精，遗尿尿频；阳痿早泄，目暗昏花,煎服，6～12g,肾虚有火、小便短涩者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/覆盆子.md
119,金樱子,收涩药,固精缩尿止带药,,固精缩尿、固崩止带为要,酸、甘、涩，平,肾、膀胱、大肠经,固精缩尿；固崩止带；涩肠止泻,遗精滑精，遗尿尿频；崩漏带下；久泻久痢,煎服，6～12g,有实火、实邪者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/金樱子.md
120,鸡冠花,收涩药,固精缩尿止带药,,收敛止血、止带为要,甘、涩，凉,肝、大肠经,收敛止血；止带；止痢,吐血衄血，崩漏便血，痔血；赤白带下；久痢不止,煎服，6～12g,瘀血阻滞者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固精缩尿止带药/鸡冠花.md
121,浮小麦,收涩药,固表止汗药,,固表止汗、益气为要,甘，凉,心经,固表止汗；益气；除热,自汗，盗汗；骨蒸劳热,煎服，15～30g；研末服，3～5g,无汗而烦躁者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固表止汗药/浮小麦.md
122,糯稻根须,收涩药,固表止汗药,,固表止汗、益胃生津为要,甘，平,心、肝经,固表止汗；益胃生津；退虚热,自汗，盗汗；虚热不退，骨蒸潮热,煎服，15～30g,无明显禁忌,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固表止汗药/糯稻根须.md
123,麻黄根,收涩药,固表止汗药,,固表止汗为要,甘、微涩，平,心、肺经,固表止汗,自汗，盗汗,煎服，3～9g；外用适量研粉撒扑,有表邪者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/固表止汗药/麻黄根.md
124,乌梅,收涩药,敛肺涩肠药,,敛肺、涩肠为要,酸、涩，平,肝、脾、肺、大肠经,敛肺；涩肠；生津；安蛔,肺虚久咳；久泻久痢；虚热消渴；蛔厥腹痛，呕吐,煎服，6～12g；生津止渴宜生用，止泻止血宜炒炭用,表邪未解、内有实热积滞者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/敛肺涩肠药/乌梅.md
125,五倍子,收涩药,敛肺涩肠药,,敛肺降火、涩肠止泻为要,酸、涩，寒,肺、大肠、肾经,敛肺降火；涩肠止泻；敛汗止血；收湿敛疮,肺虚久咳，肺热痰嗽；久泻久痢；自汗盗汗；各种出血；疮疡肿毒，湿疮流水（外用）,煎服，3～6g；研末服，每次1～1.5g；外用适量,湿热泻痢者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/敛肺涩肠药/五倍子.md
126,五味子,收涩药,敛肺涩肠药,,收敛固涩、益气生津为要,酸、甘，温,肺、心、肾经,收敛固涩；益气生津；补肾宁心,久嗽虚喘；梦遗滑精，遗尿尿频；久泻不止；自汗盗汗；津伤口渴，内热消渴；心悸失眠,煎服，2～6g；研末服，每次1～3g,表邪未解、内有实热、咳嗽初起、麻疹初发者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/敛肺涩肠药/五味子.md
127,石榴皮,收涩药,敛肺涩肠药,,涩肠止泻、止血为要,酸、涩，温,大肠经,涩肠止泻；止血；驱虫,久泻久痢，便血脱肛；崩漏带下；虫积腹痛,煎服，3～10g；止血炒炭用,泻痢初起、实邪未清者忌用；大剂量可致中毒,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/敛肺涩肠药/石榴皮.md
128,罂粟壳,收涩药,敛肺涩肠药,,敛肺、涩肠为要,酸、涩，平；有毒,肺、大肠、肾经,敛肺；涩肠；止痛,久咳虚喘；久泻久痢；心腹及筋骨疼痛,煎服，3～6g；蜜炙或醋炒用,有毒，易成瘾，不宜常服；咳嗽初起、积滞泻痢者忌用；孕妇、儿童禁用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/敛肺涩肠药/罂粟壳.md
129,诃子,收涩药,敛肺涩肠药,,涩肠止泻、敛肺止咳为要,苦、酸、涩，平,肺、大肠经,涩肠止泻；敛肺止咳；降火利咽,久泻久痢，便血脱肛；肺虚喘咳，久咳失音,煎服，3～10g；涩肠止泻宜煨用，敛肺利咽宜生用,外邪未解、内有湿热积滞者慎用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,收涩药/敛肺涩肠药/诃子.md
130,土荆皮,攻毒杀虫止痒药,,,杀虫、疗癣为要,辛，温；有毒,肺、脾经,杀虫；疗癣；止痒,体癣、手足癣、头癣等一切癣证,外用适量，醋浸或酒浸涂擦，或研末调涂,有毒，只供外用，不可内服,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,攻毒杀虫止痒药/土荆皮.md
131,大蒜,攻毒杀虫止痒药,,,解毒杀虫、消肿为要,辛，温,脾、胃、肺经,解毒杀虫；消肿；止痢,痈肿疮毒，疥癣（外用）；痢疾泄泻，肺痨咳嗽；钩虫、蛲虫病,生食、绞汁服或煎服，6～12g；外用适量,阴虚火旺、目疾、口齿病者慎用；不宜空腹生食,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,攻毒杀虫止痒药/大蒜.md
132,木鳖子,攻毒杀虫止痒药,,,散结消肿、攻毒疗疮为要,苦、微甘，凉；有毒,肝、脾、胃经,散结消肿；攻毒疗疮,疮疡肿毒，瘰疬乳痈，痔漏，干癣（外用为主）,内服入丸散，0.9～1.2g；外用适量,有毒，孕妇及体虚者忌用,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,攻毒杀虫止痒药/木鳖子.md
133,樟脑,攻毒杀虫止痒药,,,除湿杀虫、温散止痛为要,辛，热；有毒,心、脾经,除湿杀虫；温散止痛；开窍辟秽,疥癣瘙痒，湿疮溃烂（外用）；跌打伤痛，牙痛（外用）；痧胀腹痛，吐泻神昏,外用适量；内服入丸散，0.1～0.2g,有毒，内服宜慎，孕妇禁用；气虚者忌服,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,攻毒杀虫止痒药/樟脑.md
134,白矾,攻毒杀虫止痒药,,,外用解毒杀虫，燥湿止痒、内服止血止泻，祛除风痰为要,酸、涩，寒,肺、脾、肝、大肠经,外用解毒杀虫，燥湿止痒；内服止血止泻，祛除风痰,湿疹瘙痒，疥癣（外用）；便血崩漏，久泻久痢；癫痫发狂,内服入丸散，0.6～1.5g；外用适量,体虚胃弱、无湿热痰火者忌用；不宜过量久服,（待补充：主要成分与药理作用）,（写下你的体会：配伍、方剂、临床思路等）,攻毒杀虫止痒药/白矾.md
